Date / Statut,Vol,De,Arrivée Planifiée,Départ,Arrivé,Durée,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"sam, 23. sept 2017 16:45 EDT A Atterri",S617 Flag of Haiti Sunrise Airways (S6 / KSZ),Flag of Haiti Cap-Haitien (CAP / MTCH),16:45 EDT,16:15 EDT à temps,16:45 EDT à temps,30m,,,,,
"sam, 23. sept 2017 17:17 EDT A Atterri",S62167 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),17:17 EDT,16:30 AST à temps,17:17 EDT à temps,47m,,,,,
"sam, 23. sept 2017 17:39 EDT A Atterri",AA971 AAL971 American Airlines (AA / AAL),Miami (MIA / KMIA),17:39 EDT,15:36 EDT 2 min retard,17:22 EDT 16 min tôt,1h 46m,,,,,
"sam, 23. sept 2017 17:45 EDT A Atterri",LW1704 JMR1704 Lumiwings (LW / LWI),Lima (LIM / SPJC),17:45 EDT,14:25 UTC-05 2 h 40 min retard,19:56 EDT 2 h 11 min retard,4h 30m,,,,,
"sam, 23. sept 2017 17:50 EDT A Atterri",S6407 Flag of Haiti Sunrise Airways (S6 / KSZ),Willemstad (CUR / TNCC),17:50 EDT,16:20 AST à temps,17:50 EDT à temps,1h 30m,,,,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
"sam, 23. sept 2017 18:00 EDT A Atterri",S62217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),18:00 EDT,17:15 AST à temps,18:00 EDT à temps,45m,,,,,
"dim, 24. sept 2017 08:00 EDT A Atterri",S6200 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (SDQ / MDSD),08:00 EDT,07:15 AST à temps,08:00 EDT à temps,45m,,,,,
"dim, 24. sept 2017 08:02 EDT A Atterri",AA1158 AAL1158 American Airlines (AA / AAL),Fort Lauderdale (FLL / KFLL),08:02 EDT,06:31 EDT 31 min retard,08:08 EDT 6 min retard,1h 36m,,,,,
"dim, 24. sept 2017 08:17 EDT A Atterri",S6217 Flag of Haiti Sunrise Airways (S6 / KSZ),Santo Domingo (JBQ / MDJB),08:17 EDT,07:30 AST à temps,08:17 EDT à temps,47m,,,,,
